Dates,Prices
2021-05-31,1.013881E+01
2021-06-01,1.012977E+01
2021-06-02,1.012082E+01
2021-06-03,1.011196E+01
2021-06-04,1.010321E+01
2021-06-05,1.009456E+01
2021-06-06,1.008602E+01
2021-06-07,1.007759E+01
2021-06-08,1.006928E+01
2021-06-09,1.006108E+01
2021-06-10,1.005299E+01
2021-06-11,1.004503E+01
2021-06-12,1.003720E+01
2021-06-13,1.002949E+01
2021-06-14,1.002191E+01
2021-06-15,1.001447E+01
2021-06-16,1.000716E+01
2021-06-17,9.999986E+00
2021-06-18,9.992954E+00
2021-06-19,9.986066E+00
2021-06-20,9.979323E+00
2021-06-21,9.972729E+00
2021-06-22,9.966285E+00
2021-06-23,9.959993E+00
2021-06-24,9.953857E+00
2021-06-25,9.947878E+00
2021-06-26,9.942058E+00
2021-06-27,9.936401E+00
2021-06-28,9.930907E+00
2021-06-29,9.925579E+00
2021-06-30,9.920419E+00
2021-07-01,9.915428E+00
2021-07-02,9.910610E+00
2021-07-03,9.905965E+00
2021-07-04,9.901496E+00
2021-07-05,9.897204E+00
2021-07-06,9.893091E+00
2021-07-07,9.889159E+00
2021-07-08,9.885409E+00
2021-07-09,9.881843E+00
2021-07-10,9.878462E+00
2021-07-11,9.875267E+00
2021-07-12,9.872261E+00
2021-07-13,9.869445E+00
2021-07-14,9.866819E+00
2021-07-15,9.864385E+00
2021-07-16,9.862144E+00
2021-07-17,9.860098E+00
2021-07-18,9.858247E+00
2021-07-19,9.856592E+00
2021-07-20,9.855134E+00
2021-07-21,9.853874E+00
2021-07-22,9.852814E+00
2021-07-23,9.851953E+00
2021-07-24,9.851292E+00
2021-07-25,9.850832E+00
2021-07-26,9.850574E+00
2021-07-27,9.850518E+00
2021-07-28,9.850665E+00
2021-07-29,9.851015E+00
2021-07-30,9.851568E+00
2021-07-31,9.852324E+00
2021-08-01,9.853285E+00
2021-08-02,9.854449E+00
2021-08-03,9.855817E+00
2021-08-04,9.857390E+00
2021-08-05,9.859166E+00
2021-08-06,9.861147E+00
2021-08-07,9.863331E+00
2021-08-08,9.865720E+00
2021-08-09,9.868311E+00
2021-08-10,9.871106E+00
2021-08-11,9.874103E+00
2021-08-12,9.877303E+00
2021-08-13,9.880704E+00
2021-08-14,9.884307E+00
2021-08-15,9.888110E+00
2021-08-16,9.892113E+00
2021-08-17,9.896315E+00
2021-08-18,9.900715E+00
2021-08-19,9.905313E+00
2021-08-20,9.910108E+00
2021-08-21,9.915098E+00
2021-08-22,9.920283E+00
2021-08-23,9.925661E+00
2021-08-24,9.931232E+00
2021-08-25,9.936993E+00
2021-08-26,9.942945E+00
